2025/02/12 06:40:25: Training starting...
2025/02/12 06:40:25: Episode 0) New Best Reward -8.10 (+100.0%), saving model...
2025/02/12 06:40:25: Episode 0) Epsilon: 1.00, Reward: -8.100, Best Reward: -8.10, Mean Reward -8.10
2025/02/12 06:40:25: Episode 2) New Best Reward -6.90 (+14.8%), saving model...
2025/02/12 06:40:26: Episode 14) New Best Reward -5.70 (+17.4%), saving model...
2025/02/12 06:40:26: Episode 16) New Best Reward -5.10 (+10.5%), saving model...
2025/02/12 06:40:26: Episode 46) New Best Reward -4.50 (+11.8%), saving model...
2025/02/12 06:40:26: Episode 50) New Best Reward -3.90 (+13.3%), saving model...
2025/02/12 06:40:27: Episode 100) Epsilon: 1.00, Reward: -6.300, Best Reward: -3.90, Mean Reward -7.36
2025/02/12 06:40:28: Episode 163) New Best Reward -1.50 (+61.5%), saving model...
2025/02/12 06:40:29: Episode 200) Epsilon: 0.99, Reward: -7.500, Best Reward: -1.50, Mean Reward -7.54
2025/02/12 06:40:31: Episode 300) Epsilon: 0.99, Reward: -7.500, Best Reward: -1.50, Mean Reward -7.39
2025/02/12 06:40:32: Episode 400) Epsilon: 0.98, Reward: -8.100, Best Reward: -1.50, Mean Reward -7.62
2025/02/12 06:40:34: Episode 500) Epsilon: 0.98, Reward: -8.700, Best Reward: -1.50, Mean Reward -7.66
2025/02/12 06:40:36: Episode 600) Epsilon: 0.97, Reward: -8.100, Best Reward: -1.50, Mean Reward -7.62
2025/02/12 06:40:38: Episode 700) Epsilon: 0.97, Reward: -7.500, Best Reward: -1.50, Mean Reward -7.49
2025/02/12 06:40:39: Episode 800) Epsilon: 0.96, Reward: -7.500, Best Reward: -1.50, Mean Reward -7.55
2025/02/12 06:40:41: Episode 900) Epsilon: 0.96, Reward: -8.100, Best Reward: -1.50, Mean Reward -7.62
2025/02/12 06:40:43: Episode 1000) Epsilon: 0.95, Reward: -6.900, Best Reward: -1.50, Mean Reward -7.56
2025/02/12 06:40:45: Episode 1100) Epsilon: 0.95, Reward: -8.100, Best Reward: -1.50, Mean Reward -7.64
2025/02/12 06:40:47: Episode 1200) Epsilon: 0.94, Reward: -8.100, Best Reward: -1.50, Mean Reward -7.68
2025/02/12 06:40:48: Episode 1300) Epsilon: 0.94, Reward: -8.100, Best Reward: -1.50, Mean Reward -7.61
2025/02/12 06:40:51: Episode 1400) Epsilon: 0.93, Reward: -8.100, Best Reward: -1.50, Mean Reward -7.45
2025/02/12 06:40:53: Episode 1500) Epsilon: 0.93, Reward: -8.700, Best Reward: -1.50, Mean Reward -7.44
2025/02/12 06:40:55: Episode 1600) Epsilon: 0.92, Reward: -6.900, Best Reward: -1.50, Mean Reward -7.34
2025/02/12 06:40:56: Episode 1675) New Best Reward -0.90 (+40.0%), saving model...
2025/02/12 06:40:56: Episode 1700) Epsilon: 0.92, Reward: -8.100, Best Reward: -0.90, Mean Reward -7.21
2025/02/12 06:40:58: Episode 1800) Epsilon: 0.91, Reward: -5.700, Best Reward: -0.90, Mean Reward -6.89
2025/02/12 06:41:00: Episode 1900) Epsilon: 0.91, Reward: -6.900, Best Reward: -0.90, Mean Reward -6.97
2025/02/12 06:41:02: Episode 2000) Epsilon: 0.90, Reward: -7.500, Best Reward: -0.90, Mean Reward -7.07
2025/02/12 06:41:04: Episode 2100) Epsilon: 0.90, Reward: -8.700, Best Reward: -0.90, Mean Reward -7.07
2025/02/12 06:41:06: Episode 2200) Epsilon: 0.90, Reward: -6.300, Best Reward: -0.90, Mean Reward -7.06
2025/02/12 06:41:08: Episode 2286) New Best Reward -0.30 (+66.7%), saving model...
2025/02/12 06:41:08: Episode 2300) Epsilon: 0.89, Reward: -8.700, Best Reward: -0.30, Mean Reward -7.07
2025/02/12 06:41:10: Episode 2400) Epsilon: 0.89, Reward: -7.500, Best Reward: -0.30, Mean Reward -7.09
2025/02/12 06:41:12: Episode 2500) Epsilon: 0.88, Reward: -7.500, Best Reward: -0.30, Mean Reward -6.83
2025/02/12 06:41:15: Episode 2600) Epsilon: 0.88, Reward: -6.300, Best Reward: -0.30, Mean Reward -6.91
2025/02/12 06:41:17: Episode 2700) Epsilon: 0.87, Reward: -6.300, Best Reward: -0.30, Mean Reward -6.96
2025/02/12 06:41:17: Episode 2707) New Best Reward 0.30 (+200.0%), saving model...
2025/02/12 06:41:18: Episode 2800) Epsilon: 0.87, Reward: -8.700, Best Reward: 0.30, Mean Reward -6.53
2025/02/12 06:41:20: Episode 2900) Epsilon: 0.87, Reward: -7.500, Best Reward: 0.30, Mean Reward -6.70
2025/02/12 06:41:21: Episode 2948) New Best Reward 1.50 (+400.0%), saving model...
2025/02/12 06:41:22: Episode 3000) Epsilon: 0.86, Reward: -8.100, Best Reward: 1.50, Mean Reward -6.64
2025/02/12 06:41:25: Episode 3100) Epsilon: 0.86, Reward: -6.900, Best Reward: 1.50, Mean Reward -6.67
2025/02/12 06:41:26: Episode 3170) New Best Reward 3.90 (+160.0%), saving model...
2025/02/12 06:41:26: Episode 3200) Epsilon: 0.85, Reward: -7.500, Best Reward: 3.90, Mean Reward -6.24
2025/02/12 06:41:28: Episode 3300) Epsilon: 0.85, Reward: -7.500, Best Reward: 3.90, Mean Reward -6.58
2025/02/12 06:41:30: Episode 3400) Epsilon: 0.84, Reward: -7.500, Best Reward: 3.90, Mean Reward -6.65
